,product_id,fit,sustainable,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,size_number,size_model,cotton,polyester,elastane,elasterell
108,875105002,relaxed_fit,Recycled cotton 20%,relaxed_jeans,29.99,black,875105,2,2021-10-09 11:57:22,187,32/32,1.0,0.0,0.0,0.0
109,875105003,relaxed_fit,Recycled cotton 20%,relaxed_jeans,29.99,light_denim_blue,875105,3,2021-10-09 11:57:22,187,31/32,1.0,0.0,0.0,0.0
110,875105011,relaxed_fit,Recycled cotton 20%,relaxed_jeans,29.99,light_denim_blue,875105,11,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
111,1004476001,slim_fit,,freefit®_slim_jeans,49.99,light_denim_blue,1004476,1,2021-10-09 11:57:22,182,31/32,0.9,0.0,0.02,0.08
112,1004476002,slim_fit,,freefit®_slim_jeans,49.99,light_denim_blue,1004476,2,2021-10-09 11:57:22,,,0.9,0.0,0.02,0.08
113,1004476004,slim_fit,,freefit®_slim_jeans,49.99,dark_denim_blue,1004476,4,2021-10-09 11:57:22,182,31/32,0.9,0.0,0.02,0.08
114,1004476005,slim_fit,,freefit®_slim_jeans,49.99,black_no_fade_black,1004476,5,2021-10-09 11:57:22,182,31/32,0.9,0.0,0.02,0.08
115,865734005,relaxed_fit,,relaxed_tapered_pull-on_jeans,29.99,light_denim_blue,865734,5,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
116,865734001,relaxed_fit,,relaxed_tapered_pull-on_jeans,29.99,light_denim_blue,865734,1,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
117,865734002,relaxed_fit,,relaxed_tapered_pull-on_jeans,14.99,denim_blue,865734,2,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
118,865734006,relaxed_fit,,relaxed_tapered_pull-on_jeans,29.99,gray,865734,6,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
119,865734007,relaxed_fit,,relaxed_tapered_pull-on_jeans,22.99,pale_denim_blue,865734,7,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
120,1008549004,regular_fit,,regular_jeans,19.99,dark_blue,1008549,4,2021-10-09 11:57:22,189,32/32,0.63,0.0,0.0,0.0
121,1008549001,regular_fit,Recycled cotton 20%,regular_jeans,19.99,light_denim_blue,1008549,1,2021-10-09 11:57:22,189,32/32,0.65,0.0,0.0,0.0
122,1008549002,regular_fit,Recycled cotton 20%,regular_jeans,19.99,denim_blue,1008549,2,2021-10-09 11:57:22,183,32/32,0.99,0.0,0.01,0.0
123,1008549006,regular_fit,Recycled cotton 20%,regular_jeans,19.99,black,1008549,6,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
